,name,ticker,manager
50,American High-Income Trust,AHITX US equity,David A Daigle
51,Nuveen Credit Income Fund,FJSIX US equity,
52,PACE High Yield Investments,PHDYX US equity,Mabel Lung
53,PACE High Yield Investments,PHDYX US equity,Steve Kotsen
54,PACE High Yield Investments,PHDYX US equity,David Crall
55,PACE High Yield Investments,PHDYX US equity,Simon Tan
56,PACE High Yield Investments,PHDYX US equity,Eric Torres
57,Western Asset High Yield Fund,WAHYX US equity,
58,John Hancock Funds II - High Yield Fund,JIHDX US equity,Walter E Kilcullen
59,John Hancock Funds II - High Yield Fund,JIHDX US equity,Michael C Buchanan
60,John Hancock Funds II - High Yield Fund,JIHDX US equity,"S Kenneth Leech ""Ken"""
61,SEI Institutional Investment Trust - High Yield Bond Fund,SGYAX US equity,Rob Cook
62,SEI Institutional Investment Trust - High Yield Bond Fund,SGYAX US equity,Americo Cascella
63,SEI Institutional Investment Trust - High Yield Bond Fund,SGYAX US equity,Thomas Hauser
64,SEI Institutional Investment Trust - High Yield Bond Fund,SGYAX US equity,David Aniloff
65,SEI Institutional Investment Trust - High Yield Bond Fund,SGYAX US equity,#N/A Mandatory parameter [SECURITY] cannot be empty
66,SEI Institutional Investment Trust - High Yield Bond Fund,SGYAX US equity,Mike Della Vedova
67,HC Capital Trust - HC The Corporate Opportunities,HCHYX US equity,Ian Justice
68,HC Capital Trust - HC The Corporate Opportunities,HCHYX US equity,Scott Jacobson
69,Victory High Yield Fund,GUHYX US equity,Kevin Booth
70,Victory High Yield Fund,GUHYX US equity,Paul Gillin
71,Catalyst/SMH High Income Fund,HIIFX US equity,
72,Ivy ProShares Interest Rate Hedged High Yield Index Fund,IAIRX US equity,
73,American Century NT High Income Fund,AHGNX US equity,
74,Ivy PineBridge High Yield Fund,IPNAX US equity,
75,PIA High Yield MACS Fund,PIAMX US equity,
76,American Century High Income Fund,AHIAX US equity,
77,"0    Northeast Investors Trust
Name: Name_x, dtype: object",NTHEX US equity,Bruce H Monrad
78,"9    City National Rochdale Fixed Income Opportunit...
Name: Name_x, dtype: object",RIMOX US equity,Simon Milledge
79,"14    Calamos High Income Fund
Name: Name_x, dtype: object",CCHYX US equity,Jeremy Hughes
80,"19    MFS Global High Yield Fund
82          MFS High Income Fund
Name: Name_x, dtype: object",MHOBX US equity,David Cole
81,"33               Pioneer Global High Yield Fund
73                      Pioneer High Yield Fund
148    Nationwide Amundi Global High Yield Fund
Name: Name_x, dtype: object",PGHYX US equity,Andrew D Feltus
82,"35    AB High Income Fund Inc
Name: Name_x, dtype: object",AGDAX US equity,"Douglas J Peebles ""Doug"""
83,"40    Aberdeen Global High Income Fund
Name: Name_x, dtype: object",BJBHX US equity,George Westervelt
84,"48    Eaton Vance Income Fund of Boston
Name: Name_x, dtype: object",EVIBX US equity,Steve Concannon
85,"49             Eaton Vance Income Fund of Boston
50    Eaton Vance High Income Opportunities Fund
Name: Name_x, dtype: object",EVIBX US equity,Jeffrey D Mueller
86,"55    JPMorgan High Yield Fund
Name: Name_x, dtype: object",OHYFX US equity,Jeff Lovell
87,"59    Morgan Stanley Pathway Funds - High Yield Fund
Name: Name_x, dtype: object",THYUX US equity,Richard A Hocker
88,"63    Morgan Stanley Pathway Funds - High Yield Fund
Name: Name_x, dtype: object",THYUX US equity,David Jackson
89,"67    American Century High-Yield Fund
Name: Name_x, dtype: object",AHYVX US equity,David Macewen
90,"68    American Century High-Yield Fund
Name: Name_x, dtype: object",AHYVX US equity,Kevin Akioka
91,"77    Goldman Sachs High Yield Fund
Name: Name_x, dtype: object",GSHAX US equity,Rachel C Golder
92,"79    Transamerica High Yield Bond
Name: Name_x, dtype: object",IHIYX US equity,Ben Miller
93,"95    Fidelity Global High Income Fund
Name: Name_x, dtype: object",FGHNX US equity,John H Carlson
94,"101    Northern High Yield Fixed Income Fund
Name: Name_x, dtype: object",NHFIX US equity,Eric Williams
95,"119    Principal Funds Income High Yield Fund
Name: Name_x, dtype: object",PHYTX US equity,Darrin E Smith
96,"120    Morgan Stanley Institutional Fund Trust - High...
Name: Name_x, dtype: object",MSYIX US equity,Jack Cimarosa
97,"134    Hartford High Yield Fund/The
Name: Name_x, dtype: object",HAHAX US equity,David Marshak
