Ticker,score,3yr,Name_x
IAIRX US equity,1.0,8.178658,Ivy ProShares Interest Rate Hedged High Yield Index Fund
INEAX US equity,0.5,16.89893,Columbia High Yield Bond Fund
JHHBX US equity,0.6666666666666666,15.17659,John Hancock High Yield Fund
KHYAX US equity,1.0,17.97465,DWS High Income Fund
LHYAX US equity,0.6666666666666666,13.64068,Lord Abbett High Yield Fund
LMZIX US equity,0.5,14.45588,BrandywineGLOBAL - Global High Yield Fund
LSHIX US equity,1.0,9.796753,Loomis Sayles Institutional High Income Fund
LSIOX US equity,0.6666666666666666,20.11463,Loomis Sayles High Income Opportunities Fund
LZHYX US equity,1.0,15.05499,Lazard US Corporate Income Portfolio
MGHYX US equity,1.0,18.58538,DWS Global High Income Fund
MHITX US equity,1.0,15.44977,MFS High Income Fund
MHOBX US equity,0.6666666666666666,12.01159,MFS Global High Yield Fund
MKHCX US equity,1.0,12.69721,MainStay MacKay High Yield Corporate Bond Fund
MPHAX US equity,1.0,12.99641,MassMutual Premier High Yield Fund
MSYIX US equity,1.0,14.51754,Morgan Stanley Institutional Fund Trust - High Yield Portfolio
MWHYX US equity,1.0,22.97858,Metropolitan West High Yield Bond Fund
MXHYX US equity,1.0,21.64261,Great-West High Yield Bond Fund
NCOAX US equity,1.0,13.06107,Nuveen High Yield Income Fund
NEFHX US equity,0.5,16.09498,Loomis Sayles High Income Fund
NHFIX US equity,0.0,17.46244,Northern High Yield Fixed Income Fund
NHINX US equity,0.3333333333333333,16.98268,Neuberger Berman High Income Bond Fund
NMHYX US equity,1.0,13.98258,Northern Multi-Manager High Yield Opportunity Fund
NWXIX US equity,1.0,13.231229999999998,Nationwide Amundi Global High Yield Fund
OHYFX US equity,0.6666666666666666,12.71018,JPMorgan High Yield Fund
PAOPX US equity,1.0,17.046960000000002,T Rowe Price Credit Opportunities Fund Inc
PAXHX US equity,1.0,18.51563,Pax High Yield Bond Fund
PBHAX US equity,0.0,19.45022,PGIM High Yield Fund
PGHYX US equity,1.0,9.509835,Pioneer Global High Yield Fund
PHCHX US equity,0.75,17.74738,Virtus Newfleet High Yield Fund
PHDAX US equity,0.5,16.22392,PIMCO High Yield Fund
PHDYX US equity,1.0,16.68013,PACE High Yield Investments
PHSIX US equity,0.5,18.10697,PIMCO High Yield Spectrum Fund
PHYIX US equity,1.0,16.09336,Putnam High Yield Fund
PHYSX US equity,0.5,16.27563,PIA High Yield Fund
PLHIX US equity,0.5,16.387,Pacific Funds High Income
PRHYX US equity,1.0,15.52284,T Rowe Price High Yield Fund Inc
PYHIX US equity,1.0,14.01085,Principal High Income Fund
PYHRX US equity,1.0,21.28004,Payden High Income Fund
RCRAX US equity,1.0,2.690848,Pioneer Corporate High Yield Fund
RGHYX US equity,0.6666666666666666,25.49251,RBC BlueBay High Yield Bond Fund
RIMOX US equity,0.0,8.741852,City National Rochdale Fixed Income Opportunities Fund
RPIHX US equity,0.5,18.43974,T Rowe Price Global High Income Bond Fund
SAHIX US equity,1.0,15.09204,Virtus Seix High Income Fund
SAHYX US equity,1.0,15.09348,Western Asset Global High Yield Bond Fund
SAMHX US equity,1.0,21.16791,Virtus Seix High Yield Fund
SGYAX US equity,0.8,16.87353,SEI Institutional Investment Trust - High Yield Bond Fund
SHHYX US equity,1.0,17.35288,Stone Harbor High Yield Bond Fund
SHOAX US equity,0.5,15.54706,American Beacon SiM High Yield Opportunities Fund
SHYAX US equity,0.8333333333333334,14.01951,SEI Institutional Managed Trust - High Yield Bond Fund
SHYIX US equity,0.6666666666666666,13.62727,Guggenheim High Yield Fund
SPHIX US equity,0.5,13.04511,Fidelity High Income Fund
TAHYX US equity,1.0,12.9414,Pioneer High Yield Fund
TGHYX US equity,1.0,23.68195,TCW High Yield Bond Fund
TIHYX US equity,1.0,15.09641,TIAA-CREF High Yield Fund
TNHAX US equity,1.0,17.01887,1290 High Yield Bond Fund
