1,2,3,4,5
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
DWS Global High Income Fund,MGHYX US equity,Gary Russell,Member:Fund Management Team,8/2/06
,,Thomas R Bouchard,Member:Fund Management Team,1/1/16
,,Lonnie Fox,Member:Fund Management Team,8/1/18
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Virtus Seix High Income Fund,SAHIX US equity,James Fitzpatrick,Co-Manager,1/1/13
,,Michael Kirkpatrick,Co-Manager,1/1/11
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
John Hancock Funds II - U.S. High Yield Bond Fund,JIHLX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Integrity High Income Fund,IHFAX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
T Rowe Price Institutional High Yield Fund,TRHYX US equity,Rodney Rayburn,FUND MANAGER,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Pacific Funds High Income,PLHIX US equity,Michael Long,Member: Fund Management Team,#N/A N/A
,,Brian Robertson,Member:Fund Management Team,12/21/11
,,Bob Boyd,Member:Fund Management Team,5/1/14
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
American High-Income Trust,AHITX US equity,David A Daigle,Member: Fund Management Team,1/1/03
,,Thomas H Chow,Member:Fund Management Team,#N/A N/A
,,Tara Torrens,Member:Fund Management Team,#N/A N/A
,,Shannon Ward,Member:Fund Management Team,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Federated Hermes Institutional High Yield Bond Fund,FIHBX US equity,Mark E Durbiano,FUND MANAGER,11/1/02
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
BlackRock High Yield Bond Portfolio,BHYIX US equity,"James E Keenan ""Jim""",Portfolio Manager,1/1/07
,,Mitch Garfin,Portfolio Manager,1/1/09
,,Derek Schoenhofen,Member: Fund Management Team,1/1/09
,,David Delbos,Portfolio Manager,1/1/14
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
T Rowe Price Credit Opportunities Fund Inc,PAOPX US equity,Rodney Rayburn,Fund Manager,7/1/15
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Nuveen Credit Income Fund,FJSIX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,Brenda Langenfeld,Member Fund Management Team,8/17/20
,,Aashh Parekh,Member Fund Management Team,8/17/20
,,Kevin R Lorenz,Lead Manager,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
RBC BlueBay High Yield Bond Fund,RGHYX US equity,Tim Leary,Lead Manager,3/15/19
,,Andrzej Skiba,Member Fund Management Team,3/9/20
,,Justin Jewell,Member Fund Management Team,2/1/16
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
PACE High Yield Investments,PHDYX US equity,Mabel Lung,Portfolio Manager,1/1/06
,,Fred Lee,Portfolio Manager,1/1/09
,,Gina Toth,Portfolio Manager,1/1/13
,,Steve Kotsen,Portfolio Manager,1/1/15
,,David Crall,Portfolio Manager,1/1/15
,,Simon Tan,Portfolio Manager,1/1/15
,,Steven Rosenthal,Member:Fund Management Team,7/1/15
,,Eric Torres,Member:Fund Management Team,10/1/16
,,,,
,,,,
Manning & Napier High Yield Bond Series,MNHYX US equity,Marc Bushallow,Member: Fund Management Team,1/1/08
,,Keith Harwood,Member: Fund Management Team,1/1/03
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Western Asset High Yield Fund,WAHYX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Virtus Seix High Yield Fund,SAMHX US equity,Michael Kirkpatrick,Co-Manager,1/1/07
,,James Fitzpatrick,Co-Manager,1/1/13
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
PIMCO High Yield Spectrum Fund,PHSIX US equity,Andrew R Jessop,Co-Manager,9/15/10
,,Sonali Pier,CO MANAGER,7/27/19
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
Fidelity Series High Income Fund,FSHNX US equity,Fred Hoff,Fund Manager,3/10/11
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
John Hancock Funds II - High Yield Fund,JIHDX US equity,Walter E Kilcullen,Lead Manager,#N/A N/A
,,Michael C Buchanan,Co-Manager,1/1/06
,,"S Kenneth Leech ""Ken""",Co-Manager,1/1/14
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
PGIM High Yield Fund,PBHAX US equity,Robert Cignarella,Member: Fund Management Team,3/1/14
,,Ryan Kelly,Member: Fund Management Team,2/1/12
,,Robert Spano,MEMBER: FUND MANAGEMENT TEAM,1/1/07
,,Brian Clapp,Member: Fund Management Team,1/1/13
,,Daniel Thorogood,Member: Fund Management Team,3/1/14
,,,,
,,,,
,,,,
,,,,
,,,,
T Rowe Price Global High Income Bond Fund,RPIHX US equity,Samy Muaddi,CO MANAGER,1/1/20
,,Mark J Vaselkiv,Co-Manager,1/1/15
,,Mike Della Vedova,Co-Manager,1/1/15
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
SEI Institutional Investment Trust - High Yield Bond Fund,SGYAX US equity,Rob Cook,Member: Fund Management Team,#N/A N/A
,,Donald Ellis Morgan III,Member: Fund Management Team,4/1/09
,,Seth J Brufsky,Portfolio Manager,#N/A N/A
,,Americo Cascella,Member: Fund Management Team,#N/A N/A
,,Thomas Hauser,MEMBER: FUND MANAGEMENT TEAM,#N/A N/A
,,John Leupp,Member: Fund Management Team,#N/A N/A
,,Kevin P Loome,Member: Fund Management Team,7/1/08
,,Patrick Mitchell,Member: Fund Management Team,7/1/09
,,David Aniloff,Member: Fund Management Team,1/1/05
,,Todd Boehly,Member: Fund Management Team,1/1/09
,,#N/A Mandatory parameter [SECURITY] cannot be empty,CO MANAGER,1/1/20
,,Mark J Vaselkiv,Co-Manager,1/1/15
,,Mike Della Vedova,Co-Manager,1/1/15
,,#N/A N/A,#N/A N/A,#N/A N/A
HC Capital Trust - HC The Corporate Opportunities,HCHYX US equity,Anup Agarwal,Member:Fund Management Team,7/1/14
,,Ian Justice,Member:Fund Management Team,10/1/14
,,"S Kenneth Leech ""Ken""",Member:Fund Management Team,7/1/14
,,Harris A Trifon,Member:Fund Management Team,7/1/14
,,Paul Benson,Member:Fund Management Team,3/1/16
,,Brendan M White,Member:Fund Management Team,5/1/12
,,Brad Conger,Member:Fund Management Team,8/1/13
,,Stephanie Shu,Member:Fund Management Team,8/1/13
,,John Dire,Member:Fund Management Team,8/1/13
,,Manuel Hayes,Member:Fund Management Team,8/1/13
,,Michael Sugrue,Member:Fund Management Team,11/1/14
,,James Millward,Member:Fund Management Team,11/1/14
,,Michael Edmonds,Member:Fund Management Team,11/1/14
,,Clint Talmo,Member:Fund Management Team,3/1/15
,,Justin Henne,Member:Fund Management Team,3/1/15
,,Jason Nelson,Member:Fund Management Team,3/1/15
,,Scott Jacobson,MEMBER:FUND MANAGEMENT TEAM,1/1/16
,,"Timothy J Jossart ""Tim""",Member:Fund Management Team,3/1/16
,,Garrick T Bauer,Member:Fund Management Team,3/1/16
,,"Thomas B Lee ""Tom""",Member:Fund Management Team,6/1/16
T Rowe Price US High Yield Fund,TUHAX US equity,Kevin P Loome,Fund Manager,4/1/13
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
AB FlexFee High Yield Portfolio,HIYYX US equity,Gershon M Distenfeld,Member: Fund Management Team,1/1/14
,,Ivan Rudolph-Shabinsky,Member: Fund Management Team,1/1/14
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
FIDELITY ADVISOR SERIES I - Fidelity Advisor High Income Advantage Fund,FAHYX US equity,Mark J Notkin,Co-Manager,#N/A N/A
,,Brian Chang,Co-Manager,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
Great-West High Yield Bond Fund,MXHYX US equity,Norm Boucher,Member: Fund Management Team,1/1/09
,,Robert L Salvin,Member: Fund Management Team,1/1/09
,,Paul D Scanlon,Member:Fund Management Team,1/1/09
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
Franklin High Income Fund/United States,FHAIX US equity,Patricia O'Connor,Member Fund Management Team,8/1/20
,,James McGiveran,Member Fund Management Team,8/1/20
,,Bryant Dieffenbacher,Member Fund Management Team,8/1/20
,,Glenn Voyles,Member Fund Management Team,1/1/15
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
Fidelity Capital & Income Fund,FAGIX US equity,Mark J Notkin,Co-Manager,7/15/03
,,Brian Chang,Co-Manager,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
Loomis Sayles High Income Opportunities Fund,LSIOX US equity,Brian P Kennedy,MEMBER FUND MANAGEMENT TEAM,7/19/19
,,Todd P Vandam,MEMBER FUND MANAGEMENT TEAM,7/19/19
,,"Daniel J Fuss ""Dan""",MEMBER:FUND MANAGEMENT TEAM,4/1/04
,,"Matthew J Eagan ""Matt""",MEMBER:FUND MANAGEMENT TEAM,4/1/04
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Artisan High Income Fund,APDFX US equity,Bryan C Krug,Fund Manager,3/19/14
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
Victory High Yield Fund,GUHYX US equity,Kevin Booth,Member: Fund Management Team,1/1/09
,,Paul Gillin,Member: Fund Management Team,1/1/14
,,John Blaney,Member:Fund Management Team,1/1/15
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Catalyst/SMH High Income Fund,HIIFX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
American Funds Global High-Income Opportunities Fund,GHIAX US equity,Laurentius Harrer,Member:Fund Management Team,#N/A N/A
,,David A Daigle,Member:Fund Management Team,#N/A N/A
,,Robert H Neithart,Member:Fund Management Team,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Pioneer Corporate High Yield Fund,RCRAX US equity,Andrew D Feltus,Member Fund Management Team,9/28/20
,,Matt Shulkin,Member Fund Management Team,9/28/20
,,Ken Monaghan,Member Fund Management Team,9/28/20
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
Muzinich US High Yield Corporate Bond Fund,MZHSX US equity,Kevin Ziets,Fund Manager,6/1/20
,,Bryan Petermann,Fund Manager,9/1/10
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
HIMCO VIT High Yield Bond Fund,HVHYX US equity,Brian L Biskupiak,Co-Manager,1/1/15
,,Jim Serhant,Co-Manager,1/1/15
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Diamond Hill High Yield Fund,DHHAX US equity,"William P Zox ""Bill""",Member:Fund Management Team,12/1/15
,,Suken Patel,Member:Fund Management Team,12/1/15
,,John McClain,MEMBER FUND MANAGEMENT TEAM,12/1/15
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
Direxion Monthly High Yield Bull 1.2X Fund,DXHYX US equity,Paul Brigandi,Co-Manager,2/1/16
,,Tony Ng,Co-Manager,2/1/16
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Eaton Vance Advisers Senior Floating-Rate Fund,EVAASFL US equity,Scott H Page,CO-MANAGER,#N/A N/A
,,Craig P Russ,CO-MANAGER,11/7/07
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Ivy ProShares Interest Rate Hedged High Yield Index Fund,IAIRX US equity,#N/A N/A,CO-MANAGER,#N/A N/A
,,Craig P Russ,CO-MANAGER,11/8/07
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Penn Capital Defensive Short Duration High Income Fund,PSHNX US equity,Peter Duffy,Fund Manager,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
American Century NT High Income Fund,AHGNX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
Ivy PineBridge High Yield Fund,IPNAX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
PPM High Yield Core Fund,PKHIX US equity,John Broz,MEMBER FUND MANAGEMENT TEAM,5/31/19
,,Adam Spielman,MEMBER FUND MANAGEMENT TEAM,5/31/19
,,Karl Petrovich,MEMBER FUND MANAGEMENT TEAM,5/31/19
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
AQR High Yield Bond Fund,QHYIX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
PIA High Yield MACS Fund,PIAMX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
American Century High Income Fund,AHIAX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
Crossingbridge Low Duration High Yield Fund,CBLDX US equity,David K Sherman,Co-Manager,#N/A N/A
,,Michael De Kler,Co-Manager,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
GMO High Yield Fund,GHVIX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Mesirow Financial High Yield Fund,MFHIX US equity,"Robert E Sydow ""Bob""",Portfolio Manager,1/1/18
,,Kevin S Buckle,Portfolio Manager,1/1/18
,,James Lisko,Portfolio Manager,1/1/18
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Hatteras Reinsurance Fund,HREIX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Six Circles Credit Opportunities Fund,CRDOX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
Transamerica High Yield ESG,TACBX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
Astor Dynamic Credit Fund,ACRFX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
John Hancock Managed Account Shares Non-Investment-Grade Corporate Bond Port,JMADX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
Kensington Managed Income Fund,KAMAX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
Sierra Tactical Bond Fund,STBKX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Federated Hermes SDG Engagement High Yield Credit Fund,FHHIX US equity,Fraser Lundie,Lead Fund Manager,#N/A N/A
,,Mitch Reznick,Fund Manager,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
BondHouse Diversified Income Fund,BHDIX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
