Name,Ticker,AUM
Fidelity Global High Income Fund,FGHNX US equity,97.87302
Westwood High Income Fund,WHGHX US equity,82.18816
Vanguard High-Yield Corporate Fund,VWEHX US equity,28372.42
Northern High Yield Fixed Income Fund,NHFIX US equity,3600.93
Loomis Sayles Institutional High Income Fund,LSHIX US equity,529.5053
Neuberger Berman High Income Bond Fund,NHINX US equity,1671.64
Metropolitan West High Yield Bond Fund,MWHYX US equity,800.0674
Segall Bryant & Hamill Quality High Yield Fund,WTLTX US equity,82.84661
John Hancock High Yield Fund,JHHBX US equity,1277.161
Virtus Newfleet High Yield Fund,PHCHX US equity,60.76475
Delaware High-Yield Opportunities Fund,DHOAX US equity,172.4161
TIAA-CREF High Yield Fund,TIHYX US equity,4034.263
Fidelity High Income Fund,SPHIX US equity,7727.378
TCW High Yield Bond Fund,TGHYX US equity,117.079
T Rowe Price High Yield Fund Inc,PRHYX US equity,8551.21
USAA High Income Fund,USHYX US equity,1870.294
Guggenheim High Yield Fund,SHYIX US equity,391.3724
BrandywineGLOBAL - Global High Yield Fund,LMZIX US equity,44.79492
Principal Funds Income High Yield Fund,PHYTX US equity,3085.133
Morgan Stanley Institutional Fund Trust - High Yield Portfolio,MSYIX US equity,188.4883
Lord Abbett High Yield Fund,LHYAX US equity,8409.105
Payden High Income Fund,PYHRX US equity,570.1712
Federated Hermes Opportunistic High Yield Bond Fund,FHYTX US equity,674.4199
American Beacon SiM High Yield Opportunities Fund,SHOAX US equity,1172.812
Federated Hermes High Income B,FHIIX US equity,634.1941
DWS High Income Fund,KHYAX US equity,834.0262
Nuveen High Yield Income Fund,NCOAX US equity,579.0511
Hartford High Yield Fund/The,HAHAX US equity,390.7685
Loomis Sayles High Income Fund,NEFHX US equity,112.4717
Putnam High Yield Fund,PHYIX US equity,1264.388
Western Asset Global High Yield Bond Fund,SAHYX US equity,185.7557
Nationwide Amundi Global High Yield Fund,NWXIX US equity,121.6905
Pax High Yield Bond Fund,PAXHX US equity,469.7953
Macquarie High Yield Bond Portfolio,DPHYX US equity,58.135
1290 High Yield Bond Fund,TNHAX US equity,27.88903
Ivy High Income Fund,WHIAX US equity,4000
Northern Multi-Manager High Yield Opportunity Fund,NMHYX US equity,179.3208
Pacific Funds Strategic Income,PLSRX US equity,853.2498
PIA High Yield Fund,PHYSX US equity,57.5824
Angel Oak High Yield Opportunities Fund,ANHAX US equity,71.95994
SEI Institutional Managed Trust - High Yield Bond Fund,SHYAX US equity,1529.102
Hartford Strategic Income Fund,HSNAX US equity,2007.797
DWS Global High Income Fund,MGHYX US equity,643.9199
Virtus Seix High Income Fund,SAHIX US equity,231.3316
John Hancock Funds II - U.S. High Yield Bond Fund,JIHLX US equity,239.0918
Integrity High Income Fund,IHFAX US equity,40.49721
T Rowe Price Institutional High Yield Fund,TRHYX US equity,2193.144
Pacific Funds High Income,PLHIX US equity,17.1721
American High-Income Trust,AHITX US equity,17878.83
Federated Hermes Institutional High Yield Bond Fund,FIHBX US equity,9995.404
BlackRock High Yield Bond Portfolio,BHYIX US equity,27616.73
T Rowe Price Credit Opportunities Fund Inc,PAOPX US equity,69.03488
Nuveen Credit Income Fund,FJSIX US equity,210.9573
RBC BlueBay High Yield Bond Fund,RGHYX US equity,160.7484
PACE High Yield Investments,PHDYX US equity,277.4441
Manning & Napier High Yield Bond Series,MNHYX US equity,153.7888
Western Asset High Yield Fund,WAHYX US equity,209.924
Virtus Seix High Yield Fund,SAMHX US equity,383.1389
PIMCO High Yield Spectrum Fund,PHSIX US equity,451.1934
Fidelity Series High Income Fund,FSHNX US equity,1618.052
John Hancock Funds II - High Yield Fund,JIHDX US equity,204.3992
PGIM High Yield Fund,PBHAX US equity,22126.79
T Rowe Price Global High Income Bond Fund,RPIHX US equity,202.7917
SEI Institutional Investment Trust - High Yield Bond Fund,SGYAX US equity,2696.352
HC Capital Trust - HC The Corporate Opportunities,HCHYX US equity,378.8496
T Rowe Price US High Yield Fund,TUHAX US equity,431.7969
AB FlexFee High Yield Portfolio,HIYYX US equity,38.74469
FIDELITY ADVISOR SERIES I - Fidelity Advisor High Income Advantage Fund,FAHYX US equity,1551.54
Great-West High Yield Bond Fund,MXHYX US equity,274.7337
Franklin High Income Fund/United States,FHAIX US equity,2996.481
Fidelity Capital & Income Fund,FAGIX US equity,12038.64
Loomis Sayles High Income Opportunities Fund,LSIOX US equity,275.0073
Artisan High Income Fund,APDFX US equity,5294.036
Victory High Yield Fund,GUHYX US equity,249.7567
Catalyst/SMH High Income Fund,HIIFX US equity,19.34305
American Funds Global High-Income Opportunities Fund,GHIAX US equity,#N/A N/A
Pioneer Corporate High Yield Fund,RCRAX US equity,91.70385
Muzinich US High Yield Corporate Bond Fund,MZHSX US equity,68.91663
HIMCO VIT High Yield Bond Fund,HVHYX US equity,#N/A N/A
Diamond Hill High Yield Fund,DHHAX US equity,573.0919
Direxion Monthly High Yield Bull 1.2X Fund,DXHYX US equity,78.77283
Eaton Vance Advisers Senior Floating-Rate Fund,EVAASFL US equity,34.983
Ivy ProShares Interest Rate Hedged High Yield Index Fund,IAIRX US equity,37.8
Penn Capital Defensive Short Duration High Income Fund,PSHNX US equity,44.88178
American Century NT High Income Fund,AHGNX US equity,1142.39
Ivy PineBridge High Yield Fund,IPNAX US equity,137.8
PPM High Yield Core Fund,PKHIX US equity,57.2
AQR High Yield Bond Fund,QHYIX US equity,#N/A N/A
PIA High Yield MACS Fund,PIAMX US equity,121.4411
American Century High Income Fund,AHIAX US equity,938.5829
Crossingbridge Low Duration High Yield Fund,CBLDX US equity,145.3444
GMO High Yield Fund,GHVIX US equity,87.02337
Mesirow Financial High Yield Fund,MFHIX US equity,54.79055
Hatteras Reinsurance Fund,HREIX US equity,#N/A N/A
Six Circles Credit Opportunities Fund,CRDOX US equity,24.18
Transamerica High Yield ESG,TACBX US equity,#N/A N/A
Astor Dynamic Credit Fund,ACRFX US equity,#N/A N/A
John Hancock Managed Account Shares Non-Investment-Grade Corporate Bond Port,JMADX US equity,12.03319
Kensington Managed Income Fund,KAMAX US equity,342.4046
Sierra Tactical Bond Fund,STBKX US equity,1275.511
Federated Hermes SDG Engagement High Yield Credit Fund,FHHIX US equity,37.08347
BondHouse Diversified Income Fund,BHDIX US equity,#N/A N/A
BondHouse High Income Fund,BHHGX US equity,#N/A N/A
Lord Abbett Short Duration High Yield Fund,LSYAX US equity,9.656338
Tactical Offensive Enhanced Fixed Income Fund,TCOBX US equity,#N/A N/A
VALIC Company I - High Yield Bond Fund,VHYLX US equity,#N/A N/A
